Date,Ticker,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX
0,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3606,2021-05-03,1.6069999933242798,1.6069999933242798,1.6510000228881836,1.6510000228881836,1.5779999494552612,0.0,1.6069999933242798,1.6069999933242798,1.6510000228881836,1.6510000228881836,1.5779999494552612,0.0,1.6069999933242798,1.6069999933242798,1.6510000228881836,1.6510000228881836,1.5779999494552612,0.0,1.6069999933242798,1.6069999933242798,1.6510000228881836,1.6510000228881836,1.5779999494552612,0.0,1.6069999933242798,1.6069999933242798,1.6510000228881836,1.6510000228881836,1.5779999494552612,0.0,1.6069999933242798,1.6069999933242798,1.6510000228881836,1.6510000228881836,1.5779999494552612,0.0
3607,2021-05-04,1.5920000076293943,1.5920000076293943,1.6030000448226929,1.6030000448226929,1.5570000410079956,0.0,1.5920000076293943,1.5920000076293943,1.6030000448226929,1.6030000448226929,1.5570000410079956,0.0,1.5920000076293943,1.5920000076293943,1.6030000448226929,1.6030000448226929,1.5570000410079956,0.0,1.5920000076293943,1.5920000076293943,1.6030000448226929,1.6030000448226929,1.5570000410079956,0.0,1.5920000076293943,1.5920000076293943,1.6030000448226929,1.6030000448226929,1.5570000410079956,0.0,1.5920000076293943,1.5920000076293943,1.6030000448226929,1.6030000448226929,1.5570000410079956,0.0
3608,2021-05-05,1.5839999914169312,1.5839999914169312,1.6069999933242798,1.6260000467300415,1.5820000171661377,0.0,1.5839999914169312,1.5839999914169312,1.6069999933242798,1.6260000467300415,1.5820000171661377,0.0,1.5839999914169312,1.5839999914169312,1.6069999933242798,1.6260000467300415,1.5820000171661377,0.0,1.5839999914169312,1.5839999914169312,1.6069999933242798,1.6260000467300415,1.5820000171661377,0.0,1.5839999914169312,1.5839999914169312,1.6069999933242798,1.6260000467300415,1.5820000171661377,0.0,1.5839999914169312,1.5839999914169312,1.6069999933242798,1.6260000467300415,1.5820000171661377,0.0
3609,2021-05-06,1.5609999895095823,1.5609999895095823,1.5770000219345093,1.590999960899353,1.5570000410079956,0.0,1.5609999895095823,1.5609999895095823,1.5770000219345093,1.590999960899353,1.5570000410079956,0.0,1.5609999895095823,1.5609999895095823,1.5770000219345093,1.590999960899353,1.5570000410079956,0.0,1.5609999895095823,1.5609999895095823,1.5770000219345093,1.590999960899353,1.5570000410079956,0.0,1.5609999895095823,1.5609999895095823,1.5770000219345093,1.590999960899353,1.5570000410079956,0.0,1.5609999895095823,1.5609999895095823,1.5770000219345093,1.590999960899353,1.5570000410079956,0.0
3610,2021-05-07,1.5770000219345093,1.5770000219345093,1.5700000524520874,1.5839999914169312,1.4709999561309814,0.0,1.5770000219345093,1.5770000219345093,1.5700000524520874,1.5839999914169312,1.4709999561309814,0.0,1.5770000219345093,1.5770000219345093,1.5700000524520874,1.5839999914169312,1.4709999561309814,0.0,1.5770000219345093,1.5770000219345093,1.5700000524520874,1.5839999914169312,1.4709999561309814,0.0,1.5770000219345093,1.5770000219345093,1.5700000524520874,1.5839999914169312,1.4709999561309814,0.0,1.5770000219345093,1.5770000219345093,1.5700000524520874,1.5839999914169312,1.4709999561309814,0.0
3611,2021-05-10,1.6019999980926514,1.6019999980926514,1.5770000219345093,1.6069999933242798,1.559999942779541,0.0,1.6019999980926514,1.6019999980926514,1.5770000219345093,1.6069999933242798,1.559999942779541,0.0,1.6019999980926514,1.6019999980926514,1.5770000219345093,1.6069999933242798,1.559999942779541,0.0,1.6019999980926514,1.6019999980926514,1.5770000219345093,1.6069999933242798,1.559999942779541,0.0,1.6019999980926514,1.6019999980926514,1.5770000219345093,1.6069999933242798,1.559999942779541,0.0,1.6019999980926514,1.6019999980926514,1.5770000219345093,1.6069999933242798,1.559999942779541,0.0
3612,2021-05-11,1.6239999532699585,1.6239999532699585,1.6039999723434448,1.63100004196167,1.6019999980926514,0.0,1.6239999532699585,1.6239999532699585,1.6039999723434448,1.63100004196167,1.6019999980926514,0.0,1.6239999532699585,1.6239999532699585,1.6039999723434448,1.63100004196167,1.6019999980926514,0.0,1.6239999532699585,1.6239999532699585,1.6039999723434448,1.63100004196167,1.6019999980926514,0.0,1.6239999532699585,1.6239999532699585,1.6039999723434448,1.63100004196167,1.6019999980926514,0.0,1.6239999532699585,1.6239999532699585,1.6039999723434448,1.63100004196167,1.6019999980926514,0.0
3613,2021-05-12,1.6950000524520874,1.6950000524520874,1.6169999837875366,1.6950000524520874,1.6169999837875366,0.0,1.6950000524520874,1.6950000524520874,1.6169999837875366,1.6950000524520874,1.6169999837875366,0.0,1.6950000524520874,1.6950000524520874,1.6169999837875366,1.6950000524520874,1.6169999837875366,0.0,1.6950000524520874,1.6950000524520874,1.6169999837875366,1.6950000524520874,1.6169999837875366,0.0,1.6950000524520874,1.6950000524520874,1.6169999837875366,1.6950000524520874,1.6169999837875366,0.0,1.6950000524520874,1.6950000524520874,1.6169999837875366,1.6950000524520874,1.6169999837875366,0.0
3614,2021-05-13,1.6679999828338623,1.6679999828338623,1.690000057220459,1.7000000476837158,1.656999945640564,0.0,1.6679999828338623,1.6679999828338623,1.690000057220459,1.7000000476837158,1.656999945640564,0.0,1.6679999828338623,1.6679999828338623,1.690000057220459,1.7000000476837158,1.656999945640564,0.0,1.6679999828338623,1.6679999828338623,1.690000057220459,1.7000000476837158,1.656999945640564,0.0,1.6679999828338623,1.6679999828338623,1.690000057220459,1.7000000476837158,1.656999945640564,0.0,1.6679999828338623,1.6679999828338623,1.690000057220459,1.7000000476837158,1.656999945640564,0.0
3615,2021-05-14,1.6349999904632568,1.6349999904632568,1.6390000581741333,1.6510000228881836,1.625,0.0,1.6349999904632568,1.6349999904632568,1.6390000581741333,1.6510000228881836,1.625,0.0,1.6349999904632568,1.6349999904632568,1.6390000581741333,1.6510000228881836,1.625,0.0,1.6349999904632568,1.6349999904632568,1.6390000581741333,1.6510000228881836,1.625,0.0,1.6349999904632568,1.6349999904632568,1.6390000581741333,1.6510000228881836,1.625,0.0,1.6349999904632568,1.6349999904632568,1.6390000581741333,1.6510000228881836,1.625,0.0
3616,2021-05-17,1.6399999856948853,1.6399999856948853,1.6349999904632568,1.6469999551773071,1.628000020980835,0.0,1.6399999856948853,1.6399999856948853,1.6349999904632568,1.6469999551773071,1.628000020980835,0.0,1.6399999856948853,1.6399999856948853,1.6349999904632568,1.6469999551773071,1.628000020980835,0.0,1.6399999856948853,1.6399999856948853,1.6349999904632568,1.6469999551773071,1.628000020980835,0.0,1.6399999856948853,1.6399999856948853,1.6349999904632568,1.6469999551773071,1.628000020980835,0.0,1.6399999856948853,1.6399999856948853,1.6349999904632568,1.6469999551773071,1.628000020980835,0.0
